log,ftransfer,stransfer,elapsed,date,dry,sec,size
2025-05-10-dry.log,22357,40.852 GiB,16.0s,2025-05-10,1,16,41832.448
2025-05-11-dry.log,11419,4.049 GiB,57.1s,2025-05-11,1,57.1,4146.176
2025-05-12-dry.log,5744,3.770 GiB,1m10.6s,2025-05-12,1,70.6,3860.48
2025-05-13-dry.log,23,52.864 MiB,1m13.3s,2025-05-13,1,73.3,52.864
2025-05-14-dry.log,16,52.403 MiB,1m22.2s,2025-05-14,1,82.2,52.403
2025-05-15-dry.log,17,52.408 MiB,1m17.5s,2025-05-15,1,77.5,52.408
2025-05-16-dry.log,23,79.465 MiB,1m55.8s,2025-05-16,1,115.8,79.465
2025-05-17-dry.log,24,79.470 MiB,1m55.2s,2025-05-17,1,115.2,79.47
2025-05-18-dry.log,25,79.475 MiB,2m6.3s,2025-05-18,1,126.3,79.475
2025-05-19-dry.log,26,79.481 MiB,2m11.0s,2025-05-19,1,131,79.481
2025-05-20-dry.log,27,79.487 MiB,2m0.4s,2025-05-20,1,120.4,79.487
2025-05-21-dry.log,38,79.990 MiB,2m25.1s,2025-05-21,1,145.1,79.99
2025-05-22-dry.log,555,1.286 GiB,4m24.0s,2025-05-22,1,264,1316.864
2025-05-23-dry.log,3274,424.758 MiB,4m26.7s,2025-05-23,1,266.7,424.758
2025-05-24-dry.log,3276,425.211 MiB,4m25.4s,2025-05-24,1,265.4,425.211
2025-05-25-dry.log,131,23.637 MiB,4m30.5s,2025-05-25,1,270.5,23.637
2025-05-26-dry.log,28,1.242 GiB,4m29.9s,2025-05-26,1,269.9,1271.808
2025-05-27-dry.log,33,1.242 GiB,4m30.1s,2025-05-27,1,270.1,1271.808
2025-05-28-dry.log,35,1.242 GiB,4m30.4s,2025-05-28,1,270.4,1271.808
2025-05-29-dry.log,10188,5.956 GiB,4m29.7s,2025-05-29,1,269.7,6098.944
2025-05-30-dry.log,5,2.265 GiB,5m14.3s,2025-05-30,1,314.3,2319.36
2025-05-31-dry.log,7,2.265 GiB,5m13.5s,2025-05-31,1,313.5,2319.36
2025-06-01-dry.log,699,4.734 GiB,5m20.2s,2025-06-01,1,320.2,4847.616
2025-06-02-dry.log,704,4.734 GiB,5m12.5s,2025-06-02,1,312.5,4847.616
2025-06-03.log,613,4.488 GiB,10m59.8s,2025-06-03,0,659.8,4595.712
2025-06-04.log,4,84.697 KiB,5m4.5s,2025-06-04,0,304.5,0.0827119140625
2025-06-05.log,3,53.688 KiB,14m53.9s,2025-06-05,0,893.9,0.0524296875
2025-06-06.log,6,166.803 KiB,9m56.0s,2025-06-06,0,596,0.1628935546875
2025-06-07.log,0,NA,4m52.7s,2025-06-07,0,292.7,0
2025-06-08.log,3,80.984 KiB,4m53.2s,2025-06-08,0,293.2,0.0790859375
2025-06-09.log,3,64.778 KiB,4m53.8s,2025-06-09,0,293.8,0.063259765625
2025-06-10.log,3,51.982 MiB,4m55.9s,2025-06-10,0,295.9,51.982
2025-06-11.log,40,387.665 KiB,4m52.7s,2025-06-11,0,292.7,0.3785791015625
2025-06-12.log,17,153.271 KiB,4m48.6s,2025-06-12,0,288.6,0.1496787109375
2025-06-13.log,61,246.031 KiB,4m48.1s,2025-06-13,0,288.1,0.2402646484375
2025-06-14.log,240,9.479 MiB,5m7.6s,2025-06-14,0,307.6,9.479
2025-06-15.log,19,126.597 KiB,4m49.7s,2025-06-15,0,289.7,0.1236298828125
2025-06-16.log,30,170.851 KiB,4m15.7s,2025-06-16,0,255.7,0.1668466796875
2025-06-17.log,134,863.899 KiB,4m9.7s,2025-06-17,0,249.7,0.8436513671875
2025-06-18.log,194,29.202 GiB,20m27.4s,2025-06-18,0,1227.4,29902.848
2025-06-19.log,46,408.703 KiB,4m51.3s,2025-06-19,0,291.3,0.3991240234375
2025-06-20.log,5,31.928 KiB,4m53.2s,2025-06-20,0,293.2,0.0311796875
2025-06-21.log,0,NA,4m56.5s,2025-06-21,0,296.5,0
2025-06-22.log,0,NA,4m52.7s,2025-06-22,0,292.7,0
2025-06-23.log,539,7.172 MiB,10m52.9s,2025-06-23,0,652.9,7.172
2025-06-24.log,132,669.822 KiB,4m40.8s,2025-06-24,0,280.8,0.654123046875
2025-06-25.log,66,672.236 KiB,4m28.6s,2025-06-25,0,268.6,0.65648046875
2025-06-26.log,119,1.745 MiB,7m38.5s,2025-06-26,0,458.5,1.745
2025-06-27.log,324,13.240 MiB,4m33.7s,2025-06-27,0,273.7,13.24
2025-06-28.log,20,150.660 KiB,4m46.5s,2025-06-28,0,286.5,0.14712890625
2025-06-29.log,47,193.077 KiB,4m22.2s,2025-06-29,0,262.2,0.1885517578125
2025-06-30.log,183,1.334 MiB,8m1.5s,2025-06-30,0,481.5,1.334
2025-07-01.log,167,17.198 MiB,8m13.5s,2025-07-01,0,493.5,17.198
2025-07-02.log,118,2.574 MiB,4m11.3s,2025-07-02,0,251.3,2.574
2025-07-03.log,35,1.019 MiB,4m20.5s,2025-07-03,0,260.5,1.019
